frequency,magnitude
11125.0,4.028160310303926
11175.0,4.055629293540233
11225.0,4.00803538042083
11275.0,4.0862244471841445
11325.0,4.0009623663925655
11375.0,4.0485570495628505
11425.0,4.047257609596679
11475.0,4.074797629176825
11525.0,4.018356124151756
11575.0,4.068448708998753
11625.0,4.064025257843616
11675.0,4.087775822640216
11725.0,4.089765113274198
11775.0,4.132786435843633
11825.0,4.101956470049496
11875.0,4.103889785479525
11925.0,4.2402824201571825
11975.0,4.2007986753534015
12025.0,4.210429936093046
12075.0,4.1968423604861
12125.0,4.203646754139146
12175.0,4.203004664983688
12225.0,4.272519752659695
12275.0,4.3162419856566725
12325.0,4.205414797140772
12375.0,4.211083328946438
12425.0,4.246937827264839
12475.0,4.277050264824327
12525.0,4.320416018643166
12575.0,4.338125475230352
12625.0,4.479620386150396
12675.0,4.267812065341782
12725.0,4.257292843384638
12775.0,4.294924584865264
12825.0,4.3203571893005215
12875.0,4.362020733146459
12925.0,4.357326096655399
12975.0,4.446901189127139
13025.0,4.4138379165191886
13075.0,4.455908434015878
13125.0,4.4271265919776726
13175.0,4.508728591205278
13225.0,4.518649053135012
13275.0,4.570229722699482
13325.0,4.500992515186572
13375.0,4.602736884594404
13425.0,4.512829487087658
13475.0,4.593448233790136
13525.0,4.500933877611523
13575.0,4.546550230889259
13625.0,4.502629318082055
13675.0,4.537799743029539
13725.0,4.4794948525617695
13775.0,4.527158484117277
13825.0,4.498928499201215
13875.0,4.554910254682008
13925.0,4.574876593506817
13975.0,4.672101221223235
14025.0,4.654739288328494
14075.0,4.766343328267167
14125.0,4.6759705171440356
14175.0,4.81877711875265
14225.0,4.805961909895772
14275.0,4.826132092358536
14325.0,4.815032819237576
14375.0,4.82452386934669
14425.0,4.845293197120316
14475.0,4.9086244220244515
14525.0,4.865458081515245
14575.0,4.8640735923872604
14625.0,4.97608981892463
14675.0,4.872458551854569
14725.0,4.905245105307181
14775.0,4.854682792991803
14825.0,4.880106864311906
14875.0,4.965194827446887
14925.0,4.9565266568894595
14975.0,5.028158089916742
15025.0,5.030431500409415
15075.0,5.018027824902011
15125.0,5.025646857518197
15175.0,5.121973855850385
15225.0,5.1725859557114955
15275.0,5.293729297866213
15325.0,5.220727246283397
15375.0,5.270023583946024
15425.0,5.370861535816285
15475.0,5.310760105234
15525.0,5.264859365952972
15575.0,5.475897436549061
15625.0,5.334511558336626
15675.0,5.3830923240876025
15725.0,5.324265752281631
15775.0,5.36767563107555
15825.0,5.235184470672876
15875.0,5.367113217001023
15925.0,5.3609784654621375
15975.0,5.404512659759438
16025.0,5.38014537758883
16075.0,5.417062270614792
16125.0,5.505470408618772
16175.0,5.456207381950466
16225.0,5.477984976038443
16275.0,5.558527572856002
16325.0,5.662668982103705
16375.0,5.64877650272932
16425.0,5.52137145475361
16475.0,5.667905399807514
16525.0,5.652900990227447
16575.0,5.679686565861183
16625.0,5.659563501262902
16675.0,5.7859967103456125
16725.0,5.828908276740795
16775.0,5.945871844910577
16825.0,5.907336913683368
16875.0,5.986154133861646
16925.0,5.934856184895228
16975.0,6.090259960712725
17025.0,6.123763409904193
17075.0,6.037879344531324
17125.0,6.112121786516699
17175.0,6.1882495603238965
17225.0,6.03341800977589
17275.0,6.190297602487132
17325.0,6.287591261105748
17375.0,6.298759073954177
17425.0,6.195043789930946
17475.0,6.340027227367151
17525.0,6.349945160845266
17575.0,6.410749367682985
17625.0,6.404085625795421
17675.0,6.4699316935379265
